"Time","{dostawca=""Azure"", konfiguracja=""high"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""low"", usługa=""Container Apps""}","{dostawca=""Azure"", konfiguracja=""medium"", usługa=""Container Apps""}"
2025-09-13 21:17:30,22.5,70.5,45.9
2025-09-13 21:18:00,22.5,70.5,45.9
2025-09-13 21:18:30,22.5,70.5,45.9
2025-09-13 21:19:00,22.5,70.5,45.9
2025-09-13 21:19:30,22.5,70.5,45.9
2025-09-13 21:20:00,22.5,70.5,45.9
2025-09-13 21:20:30,22.5,70.5,45.9
2025-09-13 21:21:00,22.5,70.5,45.9
2025-09-13 21:21:30,22.5,70.5,45.9
2025-09-13 21:22:00,22.5,70.5,45.9
2025-09-13 21:22:30,22.5,70.5,45.9
2025-09-13 21:23:00,22.5,70.5,45.9
2025-09-13 21:23:30,22.5,70.5,45.9
2025-09-13 21:24:00,22.5,70.5,45.5
2025-09-13 21:24:30,22.5,70.5,45.5
2025-09-13 21:25:00,22.4,70.5,45.5
2025-09-13 21:25:30,22.4,70.5,45.5
2025-09-13 21:26:00,22.4,70.5,45.5
2025-09-13 21:26:30,22.4,70.5,45.5
2025-09-13 21:27:00,22.4,70.5,45.5
2025-09-13 21:27:30,22.4,70.5,45.5
2025-09-13 21:28:00,22,70.5,45.5
2025-09-13 21:28:30,22,70.5,45.5
2025-09-13 21:29:00,22,70.5,45.5
2025-09-13 21:29:30,22,70.5,45.5
2025-09-13 21:30:00,22,70.5,45.5
2025-09-13 21:30:30,22,70.5,45.5
2025-09-13 21:31:00,22,70.5,45.5
2025-09-13 21:31:30,22,70.5,45.5
2025-09-13 21:32:00,22,70.4,45.5
2025-09-13 21:32:30,22,70.4,45.5
2025-09-13 21:33:00,22,70.4,45.5
2025-09-13 21:33:30,22,70.4,45.5
2025-09-13 21:34:00,22,70.4,45.4
2025-09-13 21:34:30,22,70.4,45.4
2025-09-13 21:35:00,22,70.4,45.4
2025-09-13 21:35:30,22,70.4,45.4
2025-09-13 21:36:00,22,70.4,45.4
2025-09-13 21:36:30,22,70.4,45.4
2025-09-13 21:37:00,22,70.4,45.4
2025-09-13 21:37:30,22,70.4,45.4
2025-09-13 21:38:00,22,70.4,45.4
2025-09-13 21:38:30,22,70.4,45.4
2025-09-13 21:39:00,22,70.4,45.4
2025-09-13 21:39:30,22,70.4,45.4
2025-09-13 21:40:00,22,70.4,45.4
2025-09-13 21:40:30,22,70.4,45.4
2025-09-13 21:41:00,22,70.4,45.4
2025-09-13 21:41:30,22,70.4,45.4
2025-09-13 21:42:00,22,70.4,45.4
2025-09-13 21:42:30,22,70.4,45.4
2025-09-13 21:43:00,22,70.4,45.4
2025-09-13 21:43:30,22,70.4,45.4
2025-09-13 21:44:00,22,70.4,45.4
2025-09-13 21:44:30,22,70.4,45.4
2025-09-13 21:45:00,22.4,70,45.4
2025-09-13 21:45:30,22.4,70,45.4
2025-09-13 21:46:00,22.4,70.4,45.4
2025-09-13 21:46:30,22.4,70.4,45.4
2025-09-13 21:47:00,22.9,71.6,45.4
2025-09-13 21:47:30,22.9,71.6,45.4
2025-09-13 21:48:00,22.9,71.6,45.4
2025-09-13 21:48:30,22.9,71.6,45.4
2025-09-13 21:49:00,23,71.6,45.4
2025-09-13 21:49:30,23,71.6,45.4
2025-09-13 21:50:00,23,71.6,45.4
2025-09-13 21:50:30,23,71.6,45.4
2025-09-13 21:51:00,23,71.6,45.4
2025-09-13 21:51:30,23,71.6,45.4
2025-09-13 21:52:00,23,71.6,45.5
2025-09-13 21:52:30,23,71.6,45.5
2025-09-13 21:53:00,23,71.6,45.5
2025-09-13 21:53:30,23,71.6,45.5
