sep=,
"Time","k6_checks_rate"
2025-09-13 20:52:15,100 %
2025-09-13 20:52:30,100 %
2025-09-13 20:52:45,100 %
2025-09-13 20:53:00,100 %
2025-09-13 20:53:15,100 %
2025-09-13 20:53:30,100 %
2025-09-13 20:53:45,100 %
2025-09-13 20:54:00,100 %
2025-09-13 20:54:15,100 %
2025-09-13 20:54:30,100 %
2025-09-13 20:54:45,100 %
2025-09-13 20:55:00,100 %
2025-09-13 20:55:15,100 %
2025-09-13 20:55:30,100 %
2025-09-13 20:55:45,100 %
2025-09-13 20:56:00,100 %
2025-09-13 20:56:15,100 %
2025-09-13 20:56:30,100 %
2025-09-13 20:56:45,100 %
2025-09-13 20:57:00,100 %
2025-09-13 20:57:15,100 %
2025-09-13 20:57:30,100 %
2025-09-13 20:57:45,100 %
2025-09-13 20:58:00,100 %
2025-09-13 20:58:15,100 %
2025-09-13 20:58:30,100 %
2025-09-13 20:58:45,100 %
2025-09-13 20:59:00,100 %
2025-09-13 20:59:15,100 %
2025-09-13 20:59:30,100 %
2025-09-13 20:59:45,100 %
2025-09-13 21:00:00,100 %
2025-09-13 21:00:15,100 %
2025-09-13 21:00:30,100 %
2025-09-13 21:00:45,100 %
2025-09-13 21:01:00,100 %
2025-09-13 21:01:15,100 %
2025-09-13 21:01:30,100 %
2025-09-13 21:01:45,100 %
2025-09-13 21:02:00,100 %
2025-09-13 21:02:15,100 %
2025-09-13 21:02:30,100 %
2025-09-13 21:02:45,100 %
2025-09-13 21:03:00,100 %
2025-09-13 21:03:15,100 %
2025-09-13 21:03:30,100 %
2025-09-13 21:03:45,100 %
2025-09-13 21:04:00,100 %
2025-09-13 21:04:15,100 %
2025-09-13 21:04:30,100 %
2025-09-13 21:04:45,100 %
2025-09-13 21:05:00,100 %
2025-09-13 21:05:15,100 %
2025-09-13 21:05:30,100 %
2025-09-13 21:05:45,100 %
2025-09-13 21:06:00,100 %
2025-09-13 21:06:15,100 %
2025-09-13 21:06:30,100 %
2025-09-13 21:06:45,100 %
2025-09-13 21:07:00,100 %
2025-09-13 21:07:15,100 %
2025-09-13 21:07:30,100 %
2025-09-13 21:07:45,100 %
2025-09-13 21:08:00,100 %
2025-09-13 21:08:15,100 %
2025-09-13 21:08:30,100 %
2025-09-13 21:08:45,100 %
2025-09-13 21:09:00,100 %
2025-09-13 21:09:15,100 %
2025-09-13 21:09:30,100 %
2025-09-13 21:09:45,100 %
2025-09-13 21:10:00,100 %
2025-09-13 21:10:15,100 %
2025-09-13 21:10:30,100 %
2025-09-13 21:10:45,100 %
2025-09-13 21:11:00,100 %
2025-09-13 21:11:15,100 %
2025-09-13 21:11:30,100 %
2025-09-13 21:11:45,100 %
2025-09-13 21:12:00,100 %
2025-09-13 21:12:15,100 %
2025-09-13 21:12:30,100 %
2025-09-13 21:12:45,100 %
2025-09-13 21:13:00,100 %
2025-09-13 21:13:15,100 %
2025-09-13 21:13:30,100 %
2025-09-13 21:13:45,100 %
2025-09-13 21:14:00,100 %
2025-09-13 21:14:15,100 %
2025-09-13 21:14:30,100 %
2025-09-13 21:14:45,100 %
2025-09-13 21:15:00,100 %
2025-09-13 21:15:15,100 %
2025-09-13 21:15:30,100 %
2025-09-13 21:15:45,100 %
2025-09-13 21:16:00,100 %
2025-09-13 21:16:15,100 %
2025-09-13 21:16:30,100 %
2025-09-13 21:16:45,100 %
2025-09-13 21:17:00,100 %
2025-09-13 21:17:15,100 %
2025-09-13 21:17:30,100 %
2025-09-13 21:17:45,100 %
2025-09-13 21:18:00,100 %
2025-09-13 21:18:15,100 %
2025-09-13 21:18:30,100 %
